-DOCSTART- -X- -X- O
troops O O B-PER
in O O O
place O O O
and O O O
particularly O O O
in O O O
baghdad O O B-GPE
to O O O
control O O O
what O O O
our O O B-ORG
nic O O B-PER
robertson O O I-PER
is O O O
saying O O O
is O O O
a O O O
stage O O O
of O O O
anarchy O O O
in O O O
some O O O
parts O O B-LOC
of O O O
iraq O O B-GPE
. O O O

do O O O
you O O B-PER
think O O O
the O O O
administration O O B-ORG
underestimated O O O
the O O O
day O O O
after O O O
? O O O

i O O B-PER
think O O O
because O O O
the O O O
day O O O
after O O O
came O O O
so O O O
fast O O O
and O O O
so O O O
suddenly O O O
in O O O
way O O O
. O O O

i O O B-PER
think O O O
that O O O
there O O O
's O O O
been O O O
a O O O
pattern O O O
here O O O
not O O O
just O O O
with O O O
this O O O
administration O O B-ORG
, O O O
but O O O
over O O O
the O O O
last O O O
ten O O O
years O O O
, O O O
bosnia O O B-GPE
, O O O
kosovo O O B-GPE
, O O O
afghanistan O O B-GPE
, O O O
where O O B-GPE
we O O B-PER
do O O O
n't O O O
quite O O O
recognize O O O
when O O O
the O O O
old O O O
order O O O
collapses O O O
, O O O
you O O B-PER
very O O O
quickly O O O
have O O O
to O O O
rush O O O
in O O O
and O O O
fill O O O
it O O O
with O O O
some O O O
kind O O O
of O O O
new O O O
order O O O
. O O O

in O O O
the O O O
short-term O O O
, O O O
that O O O
's O O O
going O O O
to O O O
have O O O
to O O O
mean O O O
the O O O
american O O B-GPE
military O O B-ORG
. O O O

but O O O
the O O O
key O O O
question O O O
, O O O
which O O O
i O O B-PER
try O O O
to O O O
address O O O
in O O O
the O O O
book O O O
, O O O
is O O O
what O O O
do O O O
you O O B-PER
do O O O
after O O O
that O O O
? O O O

what O O O
kind O O O
of O O O
authority O O O
do O O O
you O O B-PER
create O O O
in O O O
a O O O
society O O B-PER
going O O O
through O O O
this O O O
kind O O O
of O O O
transition O O O
. O O O

and O O O
how O O O
do O O O
you O O B-PER
know O O O
that O O O
the O O O
local O O O
iraqi O O B-GPE
citizens O O B-PER
will O O O
make O O O
up O O O
this O O O
government O O B-GPE
or O O O
, O O O
in O O O
fact O O O
, O O O
interested O O O
in O O O
democracy O O O
? O O O

there O O O
's O O O
no O O O
proof O O O
of O O O
that O O O
. O O O

well O O O
, O O O
the O O O
key O O O
here O O O
is O O O
the O O O
only O O O
way O O O
to O O O
get O O O
that O O O
kind O O O
of O O O
legitimate O O O
government O O B-GPE
to O O O
have O O O
it O O B-GPE
look O O O
good O O O
is O O O
to O O O
hold O O O
elections O O O
. O O O

but O O O
if O O O
you O O B-PER
hold O O O
elections O O O
, O O O
you O O B-PER
stop O O O
the O O O
whole O O O
process O O O
of O O O
building O O O
a O O O
rule O O O
of O O O
law O O O
, O O O
creating O O O
courts O O O
, O O O
creating O O O
administration O O O
. O O O

we O O B-PER
've O O O
seen O O O
in O O O
the O O O
past O O O
in O O O
bosnia O O B-GPE
for O O O
example O O O
, O O O
you O O B-PER
held O O O
elections O O O
and O O O
all O O O
of O O O
the O O O
old O O O
ethnic O O O
thugs O O B-PER
get O O O
into O O O
power O O O
because O O O
they O O B-PER
have O O O
organization O O O
and O O O
they O O B-PER
have O O O
money O O O
and O O O
they O O B-PER
stop O O O
the O O O
process O O O
of O O O
genuine O O O
building O O O
of O O O
democracy O O O
. O O O

there O O O
is O O O
this O O O
tension O O O
here O O O
which O O O
is O O O
the O O O
only O O O
way O O O
to O O O
make O O O
this O O O
look O O O
good O O O
is O O O
in O O O
some O O O
way O O O
get O O O
legitimate O O O
iraqi O O B-GPE
authority O O B-GPE
, O O O
but O O O
the O O O
faster O O O
you O O B-PER
get O O O
that O O O
, O O O
the O O O
more O O O
likely O O O
you O O B-PER
stop O O O
this O O O
process O O O
. O O O

so O O O
what O O O
do O O O
you O O B-PER
think O O O
of O O O
this O O O
interim O O O
government O O B-GPE
? O O O

you O O B-PER
got O O O
deputy O O B-PER
defense O O O
secretary O O B-PER
paul O O B-PER
wolfowitz O O I-PER
saying O O O
that O O O
american O O B-GPE
and O O O
british O O B-GPE
military O O B-ORG
forces O O O
would O O O
play O O O
a O O O
leading O O O
role O O O
in O O O
setting O O O
up O O O
an O O O
iraqi O O B-GPE
government O O B-GPE
and O O O
then O O O
later O O O
draw O O O
civilians O O B-PER
into O O O
the O O O
process O O O
. O O O

is O O O
that O O O
going O O O
to O O O
work O O O
? O O O

i O O B-PER
think O O O
it O O O
will O O O
work O O O
if O O O
it O O O
's O O O
truly O O O
broad-based O O O
and O O O
truly O O O
consensual O O O
, O O O
try O O O
and O O O
include O O O
all O O O
different O O O
people O O B-PER
and O O O
including O O O
them O O B-PER
in O O O
creating O O O
a O O O
constitution O O O
which O O O
would O O O
take O O O
a O O O
few O O O
years O O O
. O O O

what O O O
i O O B-PER
point O O O
out O O O
is O O O
the O O O
plays O O O
where O O O
you O O B-PER
've O O O
had O O O
quick O O O
transitions O O O

2003-04-11 O O O
08:31:54 O O O

news O O O
story O O O

2003-04-15 O O O
17:35:05 O O O

spy O O B-PER
to O O O
help O O O
free O O O
private O O B-PER
jessica O O B-PER
lynch O O I-PER
. O O O

* O O O
* O O O
lara O O O
hijacking O O O
in O O O
1995 O O O
has O O O
been O O O
captured O O O
by O O O
u.s O O B-GPE
. O O O
forces O O B-PER
in O O O
or O O O
near O O O
baghdad O O B-GPE
. O O O

this O O B-VEH
was O O O
the O O O
italian O O B-GPE
ship O O B-VEH
that O O B-VEH
was O O O
taken O O O
-- O O O
that O O B-VEH
was O O O
captured O O O
by O O O
palestinian O O B-GPE
terrorists O O B-PER
back O O O
in O O O
1985 O O O
and O O O
some O O B-PER
may O O O
remember O O O
the O O O
story O O O
of O O O
leon O O B-PER
clinghover O O I-PER
, O O O
he O O B-PER
was O O O
in O O O
a O O O
cheal O O O
chair O O O
and O O O
the O O O
terrorists O O B-PER
shot O O O
him O O B-PER
and O O O
pushed O O O
him O O B-PER
over O O O
the O O O
side O O O
of O O O
the O O O
ship O O B-VEH
into O O O
the O O O
mediterranean O O B-LOC
where O O B-LOC
he O O B-PER
obviously O O O
, O O O
died O O O
. O O O

this O O O
man O O B-PER
, O O O
abu O O B-PER
abbas O O I-PER
has O O O
lived O O O
an O O O
i O O O
tin O O O
rant O O O
life O O O
, O O O
he O O B-PER
's O O O
been O O O
in O O O
tunas O O B-GPE
. O O O

he O O B-PER
's O O O
been O O O
in O O O
libya O O B-GPE
and O O O
he O O B-PER
's O O O
been O O O
living O O O
under O O O
the O O O
protection O O O
of O O O
saddam O O B-PER
hussein O O I-PER
in O O O
baghdad O O B-GPE
, O O O
but O O O
he O O B-PER
is O O O
wanted O O O
for O O O
murder O O O
in O O O
italy O O B-GPE
italy O O B-GPE
. O O O

there O O O
are O O O
charges O O O
, O O O
u.s O O B-GPE
. O O O

charges O O O
which O O O
have O O O
expired O O O
but O O O
could O O O
, O O O
i O O B-PER
am O O O
told O O O
, O O O
possibly O O O
be O O O
re O O O
-- O O O
restarted O O O
for O O O
piracy O O O
, O O O
hostage O O O
taking O O O
and O O O
conspiracy O O O
. O O O

so O O O
this O O O
is O O O
one O O O
of O O O
the O O O
oldest O O O
cases O O O
of O O O
terrorism O O O
that O O O
is O O O
one O O O
of O O O
the O O O
oldest O O O
cases O O O
that O O O
has O O O
not O O O
been O O O
closed O O O
to O O O
date O O O
t. O O O
now O O O
look O O O
as O O O
if O O O
this O O O
man O O B-PER
abu O O B-PER
absaas O O I-PER
in O O O
u.s O O B-GPE
. O O O
hands O O B-PER
. O O O

miles O O B-PER
? O O O

2003-04-15 O O O
17:36:17 O O O

news O O O
story O O O

2003-05-15 O O O
21:01:42 O O O

in O O O
today O O O
's O O O
daily O O O
news O O O
, O O O
a O O O
60-year-old O O O
woman O O B-PER
acknowledges O O O
she O O B-PER
was O O O
the O O O
19-year-old O O O
white O O B-ORG
house O O I-ORG
intern O O B-PER
who O O B-PER
slept O O O
with O O O
jfk O O B-PER
. O O O

she O O B-PER
told O O O
the O O O
papers O O B-ORG
, O O O
" O O O
i O O B-PER
am O O O
the O O O
mimi O O B-PER
. O O O
" O O O

i O O B-PER
want O O O
to O O O
take O O O
this O O O
opportunity O O O
to O O O
stand O O O
behind O O O
the O O O
mimi O O B-PER
and O O O
proclaim O O O
my O O B-PER
solidarity O O O
. O O O

i O O B-PER
know O O O
where O O O
you O O B-PER
've O O O
been O O O
because O O O
i O O B-PER
too O O O
have O O O
been O O O
there O O O
myself O O B-PER
. O O O

that O O O
's O O O
right O O O
, O O O
i O O B-PER
too O O O
slept O O O
with O O O
jfk O O B-PER
. O O O

i O O B-PER
am O O O
the O O O
anderson O O B-PER
. O O O

i O O B-PER
was O O O
born O O O
four O O O
years O O O
too O O O
late O O O
to O O O
have O O O
slept O O O
with O O O
jfk O O B-PER
? O O O

technically O O O
correct O O O
but O O O
why O O O
quibble O O O
over O O O
details O O O
? O O O

is O O O
n't O O O
it O O O
possible O O O
deep O O O
down O O O
, O O O
that O O O
you O O B-PER
also O O O
slept O O O
with O O O
jfk O O B-PER
? O O O

who O O B-PER
, O O O
me O O B-PER
? O O O

no O O O
, O O O
i O O B-PER
could O O O
n't O O O
have O O O
, O O O
you O O B-PER
protest O O O
. O O O

believe O O O
whatever O O O
you O O B-PER
have O O O
to O O O
. O O O

i O O B-PER
am O O O
not O O O
willing O O O
to O O O
live O O O
that O O O
lie O O O
any O O O
longer O O O
. O O O

the O O O
truth O O O
about O O O
our O O B-GPE
camelot O O O
obsessed O O O
society O O B-GPE
is O O O
each O O O
of O O O
us O O B-GPE
in O O O
our O O B-GPE
own O O B-GPE
way O O O
has O O O
slept O O O
with O O O
the O O O
jfk O O B-PER
. O O O

only O O O
once O O O
we O O B-GPE
admit O O O
this O O O
to O O O
ourselves O O B-GPE
individually O O O
and O O O
as O O O
a O O O
nation O O B-GPE
can O O O
the O O O
true O O O
healing O O O
begin O O O
. O O O

a O O O
thought O O O
to O O O
end O O O
on O O O
tonight O O O
. O O O

thanks O O O
for O O O
being O O O
with O O O
us O O B-ORG
tonight O O O
. O O O

stay O O O
with O O O
cnn O O B-ORG
. O O O
" O O O

larry O O O
king O O O
live O O O
" O O O
is O O O
next O O O
. O O O

2003-05-15 O O O
21:03:09 O O O

news O O O
story O O O

2003-04-03 O O O
09:29:44 O O O

that O O B-GPE
is O O O
the O O O
very O O O
joyous O O O
town O O B-GPE
of O O O
palestine O O B-GPE
, O O O
west O O B-GPE
virginia O O I-GPE
, O O O
on O O O
the O O O
news O O O
that O O O
jessica O O B-PER
lynch O O I-PER
is O O O
eventually O O O
going O O O
to O O O
come O O O
home O O B-GPE
. O O O

what O O O
a O O O
brave O O O
young O O O
woman O O B-PER
. O O O

did O O O
you O O B-PER
hear O O O
about O O O
the O O O
injuries O O O
she O O B-PER
sustained O O O
. O O O

did O O O
you O O B-PER
hear O O O
about O O O
the O O O
firing O O O
she O O B-PER
did O O O
. O O O

she O O B-PER
was O O O
going O O O
to O O O
fight O O O
to O O O
the O O O
death O O O
. O O O

she O O B-PER
was O O O
captured O O O
but O O O
she O O B-PER
was O O O
one O O O
tough O O O
cookie O O B-PER
, O O O
apparently O O O
. O O O

god O O O
bless O O O
here O O B-PER
. O O O

and O O O
she O O B-PER
's O O O
going O O O
to O O O
be O O O
all O O O
right O O O
, O O O
it O O O
looks O O O
like O O O
. O O O

we O O B-ORG
have O O O
some O O O
other O O O
items O O O
, O O O
voices O O O
of O O O
america O O B-GPE
they O O O
're O O O
called O O O
her O O O
on O O O
american O O O
morning O O O
. O O O

home O O B-GPE
front O O I-GPE
responses O O O
to O O O
the O O O
ongoing O O O
war O O O
in O O O
iraq O O B-GPE
. O O O

we O O B-ORG
begin O O O
in O O O
oklahoma O O B-GPE
, O O O
a O O O
story O O O
of O O O
sacrifice O O O
in O O O
wartime O O O
. O O O

cass O O B-PER
apd O O I-PER
ra O O I-PER
gave O O O
birth O O O
to O O O
her O O B-PER
first O O O
daughter O O B-PER
. O O O

alexis O O B-PER
jane O O I-PER
denise O O I-PER
, O O O
but O O O
without O O O
her O O B-PER
husband O O B-PER
. O O O

john O O B-PER
scottsdale O O I-PER
is O O O
on O O O
the O O O
front O O O
lines O O O
in O O O
iraq O O B-GPE
. O O O

i O O B-PER
do O O O
n't O O O
know O O O
what O O O
to O O O
do O O O
. O O O

since O O O
her O O B-PER
husband O O B-PER
could O O O
n't O O O
be O O O
there O O O
for O O O
alexis O O B-PER
' O O O
birth O O O
. O O O

his O O B-PER
parents O O B-PER
have O O O
stepped O O O
in O O O
to O O O
help O O O
with O O O
their O O B-PER
new O O O
granddaughter O O B-PER
and O O O
it O O O
looks O O O
as O O O
though O O O
mother O O B-PER
and O O O
daughter O O B-PER
are O O O
doing O O O
well O O O
. O O O

voices O O O
of O O O
america O O B-GPE
on O O O
a O O O
morning O O O
where O O O
it O O O
looks O O O
like O O O
things O O O
gring O O O
well O O O
for O O O
the O O O
coalition O O B-GPE
members O O B-PER
. O O O

did O O O
you O O B-PER
hear O O O
the O O O
family O O B-PER
members O O B-PER
of O O O
jessica O O B-PER
lynch O O I-PER
yesterday O O O
. O O O

they O O B-PER
said O O O
it O O O
was O O O
a O O O
miraculous O O O
thing O O O
. O O O

it O O O
was O O O
the O O O
first O O O
american O O B-GPE
prisoner O O B-PER
of O O O
war O O O
ever O O O
rescued O O O
since O O O
world O O O
war O O O
ii O O O
. O O O

they O O B-ORG
've O O O
tried O O O
these O O O
things O O O
before O O O
, O O O
but O O O
never O O O
with O O O
the O O O
success O O O
. O O O

i O O B-PER
guess O O O
miracle O O O
is O O O
n't O O O
too O O O
strong O O O
a O O O
word O O O
. O O O

it O O O
's O O O
a O O O
great O O O
word O O O
. O O O

when O O O
you O O B-PER
heard O O O
her O O B-PER
father O O B-PER
talk O O O
. O O O

welcome O O O
jeffrey O O B-PER
to O O O
be O O O
in O O O
. O O O

he O O B-PER
thought O O O
it O O O

2003-04-03 O O O
09:31:10 O O O

news O O O
story O O O

2003-04-07 O O O
17:30:31 O O O

welcome O O O
back O O O
n O O O
case O O O
you O O B-PER
're O O O
just O O O
tuning O O O
in O O O
, O O O
our O O B-ORG
top O O O
story O O O
this O O O
hour O O O
, O O O
the O O O
discovery O O O
of O O O
suspect O O O
chemical O O O
weapons O O B-WEA
materials O O O
at O O O
an O O O
agricultural O O O
complex O O B-FAC
in O O O
central O O O
iraq O O B-LOC
. O O O

troops O O B-PER
from O O O
the O O O
u.s O O B-GPE
. O O O
army O O B-ORG
's O O O
101st O O B-ORG
airborne O O I-ORG
division O O I-ORG
went O O O
to O O O
the O O O
site O O B-FAC
on O O O
friday O O O
, O O O
finding O O O
a O O O
number O O O
of O O O
large O O O
drums O O O
buried O O O
in O O O
bunkers O O B-FAC
. O O O

initial O O O
tests O O O
were O O O
inconclusive O O O
. O O O

the O O O
general O O B-PER
benjamin O O B-PER
frankly O O I-PER
of O O O
the O O O
101st O O B-ORG
says O O O
today O O O
a O O O
more O O O
sophisticated O O O
test O O O
indicated O O O
the O O O
presence O O O
of O O O
nerve O O O
and O O O
blister O O O
agents O O B-WEA
. O O O

he O O B-PER
says O O O
that O O O
type O O O
of O O O
test O O O
that O O O
is O O O
required O O O
sometimes O O O
shows O O O
false-positives O O O
and O O O
further O O O
testing O O O
will O O O
be O O O
done O O O
to O O O
determine O O O
whether O O O
the O O O
materials O O O
are O O O
indeed O O O
nonweaponized O O O
chemical O O O
agents O O O
or O O O
perhaps O O O
simply O O O
pesticides O O O
. O O O

general O O B-PER
frankly O O B-PER
says O O O
it O O O
is O O O
hard O O O
to O O O
believe O O O
u.n O O B-ORG
. O O O
inspectors O O B-PER
would O O O
have O O O
found O O O
the O O O
facility O O B-FAC
hidden O O O
as O O O
deeply O O O
as O O O
it O O B-FAC
was O O O
near O O O
the O O O
euphrates O O B-LOC
river O O I-LOC
. O O O

we O O B-ORG
'll O O O
are O O O
much O O O
more O O O
on O O O
this O O O
developing O O O
story O O O
coming O O O
up O O O
in O O O
a O O O
few O O O
minutes O O O
. O O O

for O O O
the O O O
latest O O O
, O O O
though O O O
, O O O
on O O O
the O O O
air O O O
war O O O
, O O O
cnn O O B-ORG
's O O O
gary O O B-PER
tuchman O O I-PER
is O O O
joining O O O
us O O B-PER
now O O O
live O O O
from O O O
an O O O
air O O O
base O O B-FAC
not O O O
far O O O
from O O O
iraq O O B-GPE
. O O O

what O O O
's O O O
happening O O O
there O O B-FAC
tonight O O O
, O O O
gary O O B-PER
? O O O

reporter O O O
: O O O
well O O O
, O O O
wolf O O B-PER
, O O O
the O O O
air O O B-ORG
force O O I-ORG
is O O O
continuing O O O
its O O B-ORG
24-hour O O O
air O O O
coverage O O O
over O O O
baghdad O O B-GPE
. O O O

there O O O
will O O O
always O O O
be O O O
multiple O O O
warplanes O O B-VEH
, O O O
fighter O O B-PER

2003-04-07 O O O
17:31:43 O O O

news O O O
story O O O

2003-05-13 O O O
23:26:07 O O O

i O O B-PER
'm O O O
alisha O O B-PER
davis O O I-PER
. O O O

used O O O
to O O O
be O O O
the O O O
king O O B-PER
of O O O
pop O O O
. O O O

now O O O
you O O B-PER
could O O O
call O O O
him O O B-PER
the O O O
king O O B-PER
of O O O
lawsuits O O O
. O O O

michael O O B-PER
jackson O O I-PER
filed O O O
suit O O O
against O O O
universal O O B-ORG
music O O I-ORG
, O O O
the O O O
parent O O O
company O O B-ORG
of O O O
motown O O B-ORG
records O O I-ORG
saying O O O
he O O B-ORG
owe O O O
him O O B-PER
for O O O
music O O O
he O O B-PER
recorded O O O
with O O O
the O O O
jackson O O B-ORG
five O O I-ORG
back O O O
in O O O
the O O O
1970s O O O
. O O O

the O O O
gloved O O O
one O O B-PER
claims O O O
the O O O
label O O B-ORG
has O O O
been O O O
releasing O O O
new O O O
albums O O O
and O O O
jackson O O B-ORG
five O O I-ORG
merchandise O O O
without O O O
giving O O O
him O O B-PER
" O O O
a O O O
single O O O
dollar O O O
. O O O
" O O O

jackson O O B-PER
has O O O
been O O O
in O O O
and O O O
out O O O
of O O O
courtrooms O O B-FAC
lately O O O
. O O O

in O O O
recent O O O
months O O O
, O O O
he O O B-PER
's O O O
been O O O
sued O O O
by O O O
an O O O
auction O O O
house O O B-ORG
for O O O
non-payment O O O
, O O O
and O O O
by O O O
a O O O
concert O O O
promoter O O B-PER
for O O O
allegedly O O O
backing O O O
out O O O
of O O O
two O O O
millennium O O O
performances O O O
. O O O

2003-05-13 O O O
23:26:39 O O O

news O O O
story O O O

2003-04-16 O O O
18:29:42 O O O

u.s O O B-GPE
. O O O
forces O O B-PER
in O O O
baghdad O O B-GPE
are O O O
staging O O O
spot O O O
raids O O O
around O O O
that O O O
city O O B-GPE
, O O O
searching O O O
for O O O
holdout O O O
members O O B-PER
of O O O
saddam O O B-PER
's O O O
regime O O B-ORG
. O O O

as O O O
we O O B-ORG
reported O O O
, O O O
one O O O
key O O O
initiative O O O
is O O O
the O O O
search O O O
for O O O
weapons O O B-WEA
of O O O
mass O O O
destruction O O O
. O O O

and O O O
as O O O
part O O O
of O O O
that O O O
effort O O O
, O O O
u.s O O B-GPE
. O O O
special O O O
forces O O B-PER
today O O O
raided O O O
the O O O
home O O B-FAC
of O O O
the O O O
iraqi O O B-GPE
microbiologist O O B-PER
known O O O
as O O O
dr O O B-PER
. O O O

germ O O B-PER
. O O O

the O O O
woman O O B-PER
who O O B-PER
ran O O O
iraq O O B-GPE
's O O O
secret O O O
biological O O O
warfare O O O
laboratory O O B-ORG
. O O O

mike O O B-PER
boettcher O O I-PER
has O O O
our O O B-ORG
exclusive O O O
report O O O
. O O O

dr O O B-PER
. O O O

rehab O O B-PER
taha O O I-PER
, O O O
aka O O O
dr. O O B-PER
germ O O I-PER
, O O O
who O O B-PER
directed O O O
iraq O O B-GPE
's O O O
biological O O O
weapons O O B-WEA
program O O B-ORG
. O O O

cnn O O B-ORG
has O O O
exclusively O O O
obtained O O O
the O O O
united O O B-ORG
nations O O I-ORG
english O O O
translations O O O
of O O O
her O O B-PER
arabic O O O
work O O O
papers O O O
. O O O

her O O B-PER
research O O O
was O O O
conducted O O O
here O O B-FAC
at O O O
a O O O
location O O B-FAC
well-known O O O
to O O O
u.n O O B-ORG
. O O O
arms O O B-WEA
inspectors O O B-PER
. O O O
300 O O O
miles O O O
west O O O
of O O O
baghdad O O B-GPE
. O O O

her O O B-PER
notes O O O
begin O O O
with O O O
the O O O
test O O O
objective O O O
. O O O

her O O B-PER
written O O O
words O O O
are O O O
read O O O
by O O O
a O O O
narateor O O B-PER
. O O O

a O O O
field O O O
experiment O O O
was O O O
conducted O O O
to O O O
disperse O O O
biological O O O
agents O O B-WEA
, O O O
botulinum O O B-WEA
toxin O O B-WEA
and O O O
spors O O B-WEA
of O O O
bacillus O O B-WEA
. O O O

reporter O O O
: O O O
the O O O
tests O O O
were O O O
a O O O
success O O O
. O O O

reporter O O O
: O O O
taha O O B-PER
then O O O
described O O O
the O O O
success O O O
of O O O
their O O B-ORG
tests O O O
using O O O
an O O O
anthrax O O B-WEA
sim O O B-WEA
lant O O I-WEA
and O O O
artillery O O B-WEA
rockets O O B-WEA
. O O O

reporter O O O
: O O O
and O O O
she O O B-PER
reveals O O O
success O O O
in O O O
a O O O
1989 O O O
test O O O
, O O O
using O O O
aerial O O O
bombs O O B-WEA
to O O O
disperse O O O
biological O O O
agents O O B-WEA
. O O O

reporter O O O
: O O O
dr O O B-PER
. O O O

taha O O B-PER
's O O O
notes O O O
do O O O
not O O O
tell O O O
us O O B-ORG
how O O O
far O O O
she O O B-PER
eventually O O O
progressed O O O
in O O O
her O O B-PER
biological O O O
weapons O O B-WEA
testing O O O
. O O O

that O O O
's O O O
why O O O
the O O O
marines O O B-PER
came O O O
knocking O O O
. O O O

looking O O O
for O O O
her O O B-PER
papers O O O
and O O O
looking O O O
for O O O
her O O B-PER
. O O O

mike O O B-PER
boettcher O O I-PER
, O O O
cnn O O B-ORG
, O O O
baghdad O O B-GPE
. O O O

and O O O
she O O B-PER
has O O O
not O O O
been O O O

2003-04-16 O O O
18:32:04 O O O

news O O O
story O O O

2003-03-04 O O O
14:40:44 O O O

the O O O
search O O O
for O O O
a O O O
small O O O
plane O O B-VEH
that O O B-VEH
disappeared O O O
sunday O O O
in O O O
massachusetts O O B-GPE
has O O O
a O O O
bittersweet O O O
ending O O O
. O O O

three O O O
young O O O
boys O O B-PER
, O O O
ages O O O
2 O O O
, O O O
5 O O O
and O O O
10 O O O
survived O O O
and O O O
are O O O
in O O O
critical O O O
condition O O O
after O O O
spending O O O
in O O O
18 O O O
hours O O O
in O O O
the O O O
cold O O O
. O O O

the O O O
father O O B-PER
, O O O
who O O B-PER
was O O O
piloting O O O
the O O O
plane O O B-VEH
, O O O
also O O O
