-DOCSTART- -X- -X- O
stopped O O O
/? O O O

with O O O
us O O O
from O O O
the O O O
bush O O B-PERSON
administration O O O
the O O O
third O O B-ORDINAL
ranking O O O
official O O O
at O O O
the O O O
state O O O
department O O O
ambassador O O O
nicholas O O B-PERSON
burns O O I-PERSON
the O O O
former O O O
assistant O O O
secretary O O O
of O O O
defense O O B-ORG
ashton O O B-PERSON
carter O O I-PERSON
of O O O
harvard O O B-ORG
university O O I-ORG
's O O I-ORG
kennedy O O B-ORG
school O O I-ORG
of O O I-ORG
government O O I-ORG
the O O O
man O O O
who O O O
led O O O
the O O O
negotiations O O O
for O O O
the O O O
nineteen O O B-DATE
ninety O O I-DATE
four O O I-DATE
nuclear O O O
agreement O O O
with O O O
north O O B-GPE
korea O O I-GPE
robert O O B-PERSON
gallucci O O I-PERSON
dean O O O
of O O O
the O O B-ORG
school O O I-ORG
of O O I-ORG
foreign O O I-ORG
service O O I-ORG
at O O O
georgetown O O B-ORG
university O O I-ORG
and O O O
the O O O
former O O O
us O O B-GPE
ambassador O O O
to O O O
the O O B-ORG
united O O I-ORG
nations O O I-ORG
who O O O
has O O O
visited O O O
north O O B-GPE
korea O O I-GPE
five O O B-CARDINAL
times O O O
governor O O O
bill O O B-PERSON
richardson O O I-PERSON
of O O O
new O O B-GPE
mexico O O I-GPE
/. O O O

and O O O
in O O O
our O O O
meet O O B-WORK_OF_ART
the O O I-WORK_OF_ART
press O O I-WORK_OF_ART
minute O O I-WORK_OF_ART
former O O O
president O O O
gerald O O B-PERSON
ford O O I-PERSON
turns O O O
ninety O O B-DATE
three O O I-DATE
this O O B-DATE
week O O I-DATE
/. O O O

he O O O
last O O O
appeared O O O
as O O O
president O O O
on O O O
meet O O B-WORK_OF_ART
the O O I-WORK_OF_ART
press O O I-WORK_OF_ART
thirty O O B-DATE
one O O I-DATE
years O O I-DATE
ago O O I-DATE
when O O O
he O O O
talked O O O
about O O O
age O O O
as O O O
a O O O
state O O O
of O O O
mind O O O
/. O O O

but O O O
first O O B-ORDINAL
north O O B-GPE
korea O O I-GPE
/. O O O

on O O O
the O O B-DATE
fourth O O I-DATE
of O O I-DATE
july O O I-DATE
north O O B-GPE
korea O O I-GPE
tested O O O
medium O O O
and O O O
long O O O
range O O O
+missiles O O O
/. O O O

and O O O
their O O O
nuclear O O O
program O O O
appears O O O
to O O O
be O O O
full O O O
speed O O O
ahead O O O
/. O O O

what O O O
is O O O
the O O O
bush O O B-PERSON
administration O O O
going O O O
to O O O
do O O O
about O O O
it O O O
/? O O O

here O O O
with O O O
us O O O
the O O O
undersecretary O O O
of O O O
state O O B-ORG
nicholas O O B-PERSON
burns O O I-PERSON
/. O O O

mr. O O O
ambassador O O O
good O O O
morning O O B-TIME
/. O O O

thank O O O
you O O O
tim O O B-PERSON
/. O O O

good O O O
morning O O B-TIME
/. O O O

will O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
insist O O O
that O O O
the O O B-ORG
united O O I-ORG
nations O O I-ORG
impose O O O
sanctions O O O
against O O O
north O O B-GPE
korea O O I-GPE
/? O O O

well O O O
we O O O
are O O O
pursuing O O O
a O O O
very O O O
aggressive O O O
resolution O O O
up O O O
in O O O
new O O B-GPE
york O O I-GPE
at O O O
the O O B-ORG
security O O I-ORG
council O O I-ORG
/. O O O

and O O O
we O O O
think O O O
we O O O
've O O O
got O O O
the O O O
votes O O O
to O O O
pass O O O
that O O O
/. O O O

but O O O
we O O O
're O O O
also O O O
operating O O O
on O O O
multiple O O O
diplomatic O O O
fronts O O O
/. O O O

we O O O
have O O O
our O O O
lead O O O
negotiator O O O
chris O O B-PERSON
hill O O I-PERSON
ambassador O O O
hill O O B-PERSON
in O O O
beijing O O B-GPE
seoul O O B-GPE
and O O O
tokyo O O B-GPE
this O O B-DATE
week O O I-DATE
/. O O O

president O O O
bush O O B-PERSON
and O O O
secretary O O O
rice O O B-PERSON
have O O O
been O O O
working O O O
the O O O
phones O O O
with O O O
uh O O O
their O O O
counterparts O O O
/. O O O

and O O O
we O O O
've O O O
also O O O
had O O O
a O O O
very O O O
interesting O O O
development O O O
today O O B-DATE
/. O O O

the O O O
chinese O O B-NORP
government O O O
is O O O
sending O O O
tonight O O B-TIME
to O O O
a O O O
senior O O O
delegation O O O
/. O O O

and O O O
you O O O
know O O O
frankly O O O
we O O O
think O O O
it O O O
's O O O
time O O O
for O O O
china O O B-GPE
to O O O
use O O O
its O O O
influence O O O
with O O O
north O O B-GPE
korea O O I-GPE
/. O O O

the O O O
chinese O O B-NORP
have O O O
influence O O O
certainly O O O
more O O O
than O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
and O O O
the O O O
other O O O
members O O O
of O O O
the O O O
international O O O
community O O O
dealing O O O
with O O O
this O O O
problem O O O
/. O O O

china O O B-GPE
now O O O
has O O O
an O O O
opportunity O O O
to O O O
put O O O
its O O O
best O O O
foot O O O
forward O O O
, O O O
to O O O
send O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
a O O O
direct O O O
message O O O
that O O O
these O O O
missile O O O
tests O O O
can O O O
not O O O
be O O O
tolerated O O O
and O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
now O O O
have O O O
to O O O
come O O O
back O O O
to O O O
the O O O
september O O B-DATE
nineteenth O O I-DATE
two O O I-DATE
thousand O O I-DATE
five O O I-DATE
agreement O O O
and O O O
they O O O
've O O O
got O O O
to O O O
denuclearize O O O
give O O O
up O O O
their O O O
nuclear O O O
ambitions O O O
and O O O
abide O O O
by O O O
the O O O
agreement O O O
that O O O
they O O O
made O O O
with O O O
the O O O
rest O O O
of O O O
us O O O
nearly O O B-DATE
a O O I-DATE
year O O I-DATE
ago O O I-DATE
/. O O O

but O O O
the O O B-NORP
south O O I-NORP
koreans O O I-NORP
and O O O
the O O O
chinese O O B-NORP
have O O O
both O O O
said O O O
they O O O
do O O O
not O O O
believe O O O
there O O O
should O O O
be O O O
sanctions O O O
against O O O
north O O B-GPE
korea O O I-GPE
/. O O O

will O O O
the O O O
us O O B-GPE
absolutely O O O
insist O O O
that O O O
there O O O
be O O O
sanctions O O O
in O O O
the O O O
un O O B-ORG
resolution O O O
/? O O O

if O O O
you O O O
look O O O
at O O O
this O O O
un O O B-ORG
resolution O O O
that O O O
's O O O
under O O O
debate O O O
in O O O
new O O B-GPE
york O O I-GPE
it O O O
does O O O
/. O O O

it O O O
's O O O
a O O O
chapter O O B-LAW
seven O O I-LAW
resolution O O O
so O O O
it O O O
has O O O
the O O O
effect O O O
of O O O
compulsory O O O
behavior O O O
by O O O
all O O O
the O O O
member O O O
states O O O
/. O O O

it O O O
says O O O
that O O O
what O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
did O O O
was O O O
a O O O
threat O O O
to O O O
international O O O
peace O O O
and O O O
security O O O
/. O O O

it O O O
does O O O
ask O O O
all O O O
member O O O
states O O O
not O O O
to O O O
engage O O O
in O O O
nuclear O O O
trade O O O
with O O O
north O O B-GPE
korea O O I-GPE
/. O O O

that O O O
strikes O O O
us O O O
as O O O
an O O O
obvious O O O
point O O O
/. O O O

and O O O
i O O O
think O O O
what O O O
we O O O
have O O O
to O O O
do O O O
we O O O
'll O O O
see O O O
a O O O
lot O O O
of O O O
diplomacy O O O
over O O O
the O O B-DATE
next O O I-DATE
couple O O I-DATE
of O O I-DATE
days O O I-DATE
/. O O O

we O O O
'll O O O
have O O O
to O O O
see O O O
how O O O
the O O O
chinese O O B-NORP
and O O O
russians O O B-NORP
react O O O
to O O O
this O O O
/. O O O

but O O O
our O O O
view O O O
is O O O
that O O O
the O O O
five O O B-CARDINAL
parties O O O
ought O O O
to O O O
remain O O O
united O O O
and O O O
that O O O
the O O O
goal O O O
of O O O
the O O O
current O O O
diplomacy O O O
should O O O
be O O O
to O O O
use O O O
the O O O
combined O O O
leverage O O O
of O O O
china O O B-GPE
and O O O
russia O O B-GPE
's O O O
of O O O
south O O B-GPE
korea O O I-GPE
japan O O B-GPE
and O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
to O O O
force O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
back O O O
to O O O
the O O O
negotiating O O O
table O O O
/. O O O

that O O O
's O O O
certainly O O O
the O O O
best O O O
policy O O O
for O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
/. O O O

force O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
back O O O
to O O O
the O O O
negotiating O O O
table O O O
/. O O O

there O O O
are O O O
many O O O
as O O O
you O O O
know O O O
mister O O O
ambassador O O O
who O O O
believe O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
did O O O
this O O O
launch O O O
on O O O
the O O B-DATE
fourth O O I-DATE
of O O I-DATE
july O O I-DATE
to O O O
get O O O
our O O O
attention O O O
because O O O
they O O O
saw O O O
the O O O
way O O O
we O O O
were O O O
treating O O O
iran O O B-GPE
differently O O O
than O O O
we O O O
were O O O
treating O O O
north O O B-GPE
korea O O I-GPE
/. O O O

here O O O
's O O O
one O O O
nicholas O O B-PERSON
burns O O I-PERSON
on O O O
national O O B-ORG
public O O I-ORG
radio O O I-ORG
/. O O O

with O O O
iran O O B-GPE
the O O B-GPE
united O O I-GPE
states O O I-GPE
has O O O
made O O O
an O O O
offer O O O
/. O O O

and O O O
that O O O
is O O O
we O O O
are O O O
willing O O O
to O O O
sit O O O
down O O O
and O O O
negotiate O O O
with O O O
the O O O
iranians O O B-NORP
assuming O O O
and O O O
contingent O O O
upon O O O
their O O O
suspension O O O
of O O O
their O O O
nuclear O O O
activities O O O
at O O O
their O O O
plant O O O
in O O O
the O O O
in O O O
iran O O B-GPE
/. O O O

why O O O
not O O O
sit O O O
down O O O
in O O O
the O O O
same O O O
way O O O
with O O O
north O O B-NORP
koreans O O I-NORP
say O O O
to O O O
them O O O
stop O O O
developing O O O
your O O O
program O O O
/. O O O

and O O O
we O O O
'll O O O
sit O O O
down O O O
with O O O
you O O O
one O O B-CARDINAL
on O O O
one O O B-CARDINAL
/. O O O

well O O O
tim O O B-PERSON
we O O O
're O O O
trying O O O
to O O O
sit O O O
down O O O
with O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
in O O O
the O O O
context O O O
of O O O
the O O O
six O O B-CARDINAL
party O O O
talks O O O
/. O O O

we O O O
've O O O
been O O O
saying O O O
for O O O
months O O B-DATE
now O O O
that O O O
the O O O
right O O O
step O O O
forward O O O
is O O O
for O O O
north O O B-GPE
korea O O I-GPE
to O O O
return O O O
to O O O
these O O O
talks O O O
/. O O O

but O O O
we O O O
really O O O
do O O O
n't O O O
see O O O
the O O O
logic O O O
in O O O
turning O O O
this O O O
into O O O
a O O O
test O O O
of O O O
wills O O O
between O O O
two O O B-CARDINAL
countries O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
and O O O
north O O B-GPE
korea O O I-GPE
/. O O O

the O O O
fact O O O
is O O O
that O O O
china O O B-GPE
has O O O
the O O O
same O O O
interest O O O
as O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
/. O O O

it O O O
should O O O
have O O O
the O O O
same O O O
interest O O O
/. O O O

and O O O
that O O O
is O O O
to O O O
stop O O O
the O O O
north O O B-GPE
korea O O I-GPE
nuclear O O O
program O O O
/. O O O

our O O O
allies O O O
japan O O B-GPE
and O O O
south O O B-GPE
korea O O I-GPE
have O O O
the O O O
same O O O
interests O O O
/. O O O

and O O O
the O O O
russians O O B-NORP
do O O O
as O O O
well O O O
/. O O O

and O O O
so O O O
we O O O
think O O O
we O O O
're O O O
far O O O
better O O O
off O O O
working O O O
within O O O
the O O O
framework O O O
of O O O
the O O O
six O O B-CARDINAL
party O O O
talks O O O
because O O O
you O O O
get O O O
in O O O
that O O O
process O O O
the O O O
combined O O O
leverage O O O
the O O O
combined O O O
strength O O O
and O O O
frankly O O O
the O O O
combined O O O
pressure O O O
on O O O
north O O B-GPE
korea O O I-GPE
of O O O
all O O O
these O O O
different O O O
countries O O O
/. O O O

i O O O
simply O O O
do O O O
n't O O O
see O O O
why O O O
it O O O
's O O O
in O O O
the O O O
interest O O O
of O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
to O O O
get O O O
those O O O
countries O O O
out O O O
of O O O
the O O O
way O O O
and O O O
only O O O
deal O O O
with O O O
north O O B-GPE
korea O O I-GPE
directly O O O
/. O O O

so O O O
the O O O
problem O O O
here O O O
is O O O
not O O O
the O O O
lack O O O
of O O O
discussion O O O
between O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
and O O O
north O O B-GPE
korea O O I-GPE
/. O O O

we O O O
're O O O
perfectly O O O
willing O O O
to O O O
sit O O O
down O O O
with O O O
them O O O
in O O O
that O O O
six O O B-CARDINAL
party O O O
environment O O O
/. O O O

and O O O
in O O O
that O O O
sense O O O
it O O O
's O O O
analogous O O O
to O O O
what O O O
we O O O
're O O O
trying O O O
to O O O
do O O O
with O O O
iran O O B-GPE
/. O O O

secretary O O O
rice O O B-PERSON
announced O O O
about O O B-DATE
a O O I-DATE
month O O I-DATE
ago O O I-DATE
that O O O
should O O O
the O O O
iranians O O B-NORP
meet O O O
the O O O
condition O O O
of O O O
suspension O O O
of O O O
their O O O
own O O O
nuclear O O O
activities O O O
we O O O
'd O O O
be O O O
willing O O O
to O O O
sit O O O
down O O O
in O O O
another O O O
multilateral O O O
forum O O O
/. O O O

and O O O
that O O O
's O O O
with O O O
the O O O
europeans O O B-NORP
and O O O
russians O O B-NORP
and O O O
chinese O O B-NORP
/. O O O

so O O O
really O O O
you O O O
know O O O
the O O O
north O O B-GPE
korea O O I-GPE
problem O O O
is O O O
not O O O
a O O O
problem O O O
just O O O
for O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
/. O O O

what O O O
they O O O
did O O O
the O O B-DATE
other O O I-DATE
day O O I-DATE
on O O O
july O O B-DATE
fourth O O I-DATE
was O O O
to O O O
disrupt O O O
the O O O
peace O O O
and O O O
harmony O O O
of O O O
their O O O
relations O O O
with O O O
the O O O
asian O O B-LOC
countries O O O
/. O O O

and O O O
the O O O
asian O O B-LOC
countries O O O
want O O O
to O O O
be O O O
involved O O O
in O O O
these O O O
negotiations O O O
/. O O O

is O O O
it O O O
the O O O
policy O O O
of O O O
the O O O
bush O O B-PERSON
administration O O O
that O O O
we O O O
'd O O O
like O O O
to O O O
see O O O
regime O O O
change O O O
in O O O
north O O B-GPE
korea O O I-GPE
/? O O O

well O O O
this O O O
is O O O
one O O B-CARDINAL
of O O O
the O O O
most O O O
despotic O O O
regimes O O O
in O O O
the O O O
world O O O
/. O O O

it O O O
's O O O
a O O O
major O O O
human O O O
rights O O O
violator O O O
/. O O O

there O O O
's O O O
massive O O O
famine O O O
/. O O O

and O O O
certainly O O O
we O O O
hope O O O
for O O O
the O O O
day O O O
will O O O
come O O O
when O O O
those O O O
people O O O
will O O O
live O O O
in O O O
peace O O O
and O O O
be O O O
governed O O O
by O O O
a O O O
different O O O
type O O O
of O O O
government O O O
/. O O O

uh O O O
what O O O
we O O O
've O O O
got O O O
to O O O
do O O O
now O O O
of O O O
course O O O
is O O O
focus O O O
on O O O
the O O O
most O O O
immediate O O O
problem O O O
/. O O O

and O O O
that O O O
problem O O O
is O O O
nuclear O O O
weapons O O O
/. O O O

the O O O
problem O O O
is O O O
the O O O
ballistic O O O
launches O O O
of O O O
the O O B-DATE
other O O I-DATE
day O O I-DATE
/. O O O

i O O O
think O O O
the O O O
thing O O O
to O O O
remember O O O
about O O O
those O O O
launches O O O
by O O O
the O O O
way O O O
they O O O
were O O O
provocative O O O
, O O O
they O O O
were O O O
reckless O O O
, O O O
they O O O
were O O O
also O O O
unsuccessful O O O
/. O O O

they O O O
fired O O O
four O O B-CARDINAL
scud O O O
missiles O O O
intermediate O O O
range O O O
missiles O O O
/. O O O

they O O O
tried O O O
to O O O
fire O O O
the O O O
longer O O O
range O O O
missile O O O
the O O O
/. O O O

and O O O
that O O O
was O O O
spectacularly O O O
unsuccessful O O O
/. O O O

it O O O
crashed O O O
in O O O
the O O B-LOC
sea O O I-LOC
of O O I-LOC
japan O O I-LOC
/. O O O

so O O O
we O O O
obviously O O O
have O O O
an O O O
opportunity O O O
now O O O
for O O O
diplomacy O O O
. O O O
and O O O
an O O O
opportunity O O O
to O O O
use O O O
the O O O
combined O O O
strength O O O
of O O O
all O O O
these O O O
countries O O O
to O O O
provide O O O
some O O O
leverage O O O
put O O O
some O O O
leverage O O O
against O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
/. O O O

and O O O
that O O O
's O O O
what O O O
we O O O
will O O O
continue O O O
to O O O
try O O O
to O O O
do O O O
in O O O
the O O O
coming O O B-DATE
days O O I-DATE
and O O O
coming O O B-DATE
weeks O O I-DATE
/. O O O

will O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
give O O O
north O O B-GPE
korea O O I-GPE
security O O O
assurances O O O
that O O O
we O O O
will O O O
not O O O
attack O O O
their O O O
country O O O
or O O O
seek O O O
to O O O
undermine O O O
their O O O
regime O O O
/? O O O

if O O O
you O O O
look O O O
back O O O
at O O O
this O O O
historic O O O
agreement O O O
that O O O
was O O O
signed O O O
in O O O
the O O O
six O O B-CARDINAL
party O O O
frameworks O O O
on O O O
september O O B-DATE
nineteenth O O I-DATE
of O O I-DATE
two O O I-DATE
thousand O O I-DATE
five O O I-DATE
those O O O
types O O O
of O O O
assurances O O O
are O O O
in O O O
that O O O
agreement O O O
/. O O O

but O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
have O O O
obligations O O O
/. O O O

and O O O
that O O O
is O O O
to O O O
take O O O
down O O O
their O O O
nuclear O O O
program O O O
dismantle O O O
it O O O
dismantle O O O
their O O O
weapons O O O
of O O O
mass O O O
destruction O O O
programs O O O
in O O O
a O O O
verifiable O O O
way O O O
before O O O
all O O O
those O O O
assurances O O O
can O O O
go O O O
into O O O
place O O O
/. O O O

all O O O
the O O O
other O O O
elements O O O
of O O O
the O O O
agreement O O O
can O O O
be O O O
put O O O
into O O O
place O O O
/. O O O

and O O O
what O O O
we O O O
've O O O
seen O O O
since O O O
then O O O
is O O O
we O O O
've O O O
seen O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
and O O O
russia O O B-GPE
and O O O
china O O B-GPE
and O O O
japan O O B-GPE
and O O O
south O O B-GPE
korea O O I-GPE
willing O O O
to O O O
go O O O
forward O O O
willing O O O
to O O O
sit O O O
down O O O
willing O O O
to O O O
implement O O O
this O O O
entire O O O
agreement O O O
that O O O
you O O O
just O O O
referred O O O
to O O O
tim O O B-PERSON
/. O O O

but O O O
we O O O
see O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
walking O O O
away O O O
from O O O
it O O O
/. O O O

so O O O
we O O O
've O O O
got O O O
to O O O
be O O O
very O O O
persistent O O O
and O O O
frankly O O O
very O O O
tough O O O
in O O O
combining O O O
with O O O
these O O O
other O O O
countries O O O
to O O O
pressure O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
to O O O
live O O O
up O O O
to O O O
their O O O
commitments O O O
/. O O O

but O O O
we O O O
would O O O
be O O O
willing O O O
to O O O
give O O O
north O O B-GPE
korea O O I-GPE
increased O O O
economic O O O
aid O O O
perhaps O O O
light O O O
nuclear O O O
reactors O O O
for O O O
peaceful O O O
means O O O
and O O O
security O O O
assurance O O O
if O O O
in O O O
fact O O O
they O O O
sat O O O
down O O O
and O O O
negotiated O O O
/? O O O

the O O B-NORP
north O O I-NORP
koreans O O I-NORP
know O O O
what O O O
's O O O
in O O O
the O O O
september O O B-DATE
nineteenth O O I-DATE
agreement O O O
/. O O O

and O O O
it O O O
's O O O
very O O O
specific O O O
about O O O
what O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
is O O O
willing O O O
to O O O
do O O O
uh O O O
to O O O
take O O O
a O O O
step O O O
forward O O O
towards O O O
them O O O
should O O O
they O O O
dismantle O O O
all O O O
their O O O
nuclear O O O
programs O O O
and O O O
their O O O
weapons O O O
of O O O
mass O O O
destruction O O O
/. O O O

but O O O
they O O O
've O O O
got O O O
responsibilities O O O
in O O O
this O O O
agreement O O O
/. O O O

and O O O
no O O O
agreement O O O
is O O O
whole O O O
until O O O
both O O O
sides O O O
meet O O O
their O O O
agreement O O O
/. O O O

and O O O
what O O O
we O O O
've O O O
seen O O O
tim O O O
especially O O O
on O O O
july O O B-DATE
fourth O O I-DATE
is O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
in O O O
outright O O O
violation O O O
of O O O
the O O O
agreement O O O
that O O O
we O O O
made O O O
with O O O
them O O O
last O O B-DATE
september O O I-DATE
/. O O O

why O O O
do O O O
you O O O
think O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
chose O O O
july O O B-DATE
fourth O O I-DATE
/? O O O

oh O O O
i O O O
do O O O
n't O O O
think O O O
it O O O
was O O O
coincidental O O O
/. O O O

you O O O
know O O O
it O O O
's O O O
a O O O
very O O O
unreliable O O O
and O O O
unpredictable O O O
regime O O O
/. O O O

the O O O
last O O O
thing O O O
we O O O
want O O O
to O O O
do O O O
is O O O
react O O O
to O O O
every O O O
wild O O O
statement O O O
that O O O
they O O O
make O O O
/. O O O

but O O O
they O O O
certainly O O O
chose O O O
that O O O
to O O O
get O O O
our O O O
attention O O O
and O O O
that O O O
of O O O
the O O O
international O O O
community O O O
/. O O O

uh O O O
but O O O
what O O O
they O O O
've O O O
got O O O
to O O O
realize O O O
is O O O
there O O O
is O O O
no O O O
magic O O O
bullet O O O
here O O O
/. O O O

they O O O
ca O O O
n't O O O
just O O O
think O O O
that O O O
they O O O
can O O O
sit O O O
down O O O
with O O O
the O O B-GPE
united O O I-GPE
states O O I-GPE
alone O O O
/. O O O

that O O O
does O O O
n't O O O
work O O O
for O O O
japan O O B-GPE
/. O O O

it O O O
does O O O
n't O O O
work O O O
with O O O
south O O B-GPE
korea O O I-GPE
/. O O O

and O O O
frankly O O O
it O O O
does O O O
n't O O O
work O O O
with O O O
the O O O
chinese O O B-NORP
/. O O O

so O O O
i O O O
said O O O
before O O O
that O O O
one O O O
of O O O
the O O O
most O O O
interesting O O O
developments O O O
here O O O
is O O O
this O O O
chinese O O B-NORP
delegation O O O
going O O O
to O O O
/. O O O

and O O O
chris O O B-PERSON
hill O O I-PERSON
our O O O
ambassador O O O
was O O O
in O O O
china O O B-GPE
a O O B-DATE
few O O I-DATE
days O O I-DATE
ago O O I-DATE
/. O O O

he O O O
made O O O
the O O O
point O O O
and O O O
secretary O O O
rice O O B-PERSON
made O O O
the O O O
point O O O
yesterday O O O
to O O O
the O O O
chinese O O B-NORP
foreign O O O
minister O O O
, O O O
we O O O
want O O O
to O O O
see O O O
china O O B-GPE
use O O O
its O O O
influence O O O
/. O O O

we O O O
want O O O
to O O O
see O O O
china O O B-GPE
push O O O
forward O O O
and O O O
ask O O O
the O O B-NORP
north O O I-NORP
koreans O O I-NORP
to O O O
meet O O O
these O O O
commitments O O O
that O O O
they O O O
've O O O
made O O O
to O O O
all O O O
of O O O
us O O O
/. O O O

speaker O O O
newt O O B-PERSON
gingrich O O I-PERSON
the O O O
former O O O
speaker O O O
republican O O B-NORP
weighed O O O
in O O O
on O O O
this O O O
debate O O O
in O O O
this O O O
way O O O
/. O O O

he O O O
offered O O O
this O O O
